Geographic Area Name,Total Households,Median Income
Alabama,1897576,51734
Alaska,252199,75463
Arizona,2670441,62055
Arkansas,1163647,48952
California,13157873,80440
Colorado,2235103,77127
Connecticut,1377166,78833
Delaware,376239,70176
District of Columbia,291570,92266
Florida,7905832,59227
Georgia,3852714,61980
Hawaii,465299,83102
Idaho,655859,60999
Illinois,4866006,69187
Indiana,2597765,57603
Iowa,1287221,61691
Kansas,1138329,62087
Kentucky,1748732,52295
Louisiana,1741076,51073
Maine,573618,58924
Maryland,2226767,86738
Massachusetts,2650680,85843
Michigan,3969880,59584
Minnesota,2222568,74593
Mississippi,1100229,45792
Missouri,2458337,57409
Montana,437651,57153
Nebraska,771444,63229
Nevada,1143557,63276
New Hampshire,541396,77933
New Jersey,3286264,85751
New Mexico,793420,51945
New York,7446812,72108
North Carolina,4046348,57341
North Dakota,323519,64577
Ohio,4730340,58642
Oklahoma,1495151,54449
Oregon,1649352,67058
Pennsylvania,5119249,63463
Rhode Island,407174,71169
South Carolina,1975915,56227
South Dakota,353799,59533
Tennessee,2654737,56071
Texas,9985126,64034
Utah,1023855,75780
Vermont,262767,63001
Virginia,3191847,76456
Washington,2932477,78687
West Virginia,728175,48850
Wisconsin,2386623,64168
Wyoming,233128,65003
